column,english_description,exclusion_category,reason,dtype,missing_count,missing_pct
directions2,Follow Two Step Directions,결측치 과다,결측 비율이 50% 이상,float64,39257,76.4127
understand2,"Understand 'In', 'On', 'Under'",결측치 과다,결측 비율이 50% 이상,float64,39257,76.4127
repeated,Child Repeated Any Grades,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14577,28.3737
k7q30,Sports Team or Sports Lessons - Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14393,28.0156
k7q31,Clubs or Organizations - Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14579,28.3776
k7q32,Organized Activities or Lessons - Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14622,28.4613
k7q37,Community Service or Volunteer Work - Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14568,28.3562
k7q38,Paid Work or Regular Job - Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,14634,28.4847
bornusa,Born in the United States,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,390,0.7591
k8q35,Someone to Turn To for Emotional Support,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1121,2.182
k6q27,Job Change Because Problems with Child Care,결측치 과다,결측 비율이 50% 이상,float64,37799,73.5747
k9q40,Anyone in Household Use Cigarettes,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1018,1.9815
k9q41,Anyone Smoke Inside of Home,결측치 과다,결측 비율이 50% 이상,float64,46460,90.4331
vape,Vape/E-Cigarettes inside of Home,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1108,2.1567
k11q60,Cash Assistance from Government - Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1314,2.5577
k11q61,Food Stamps - Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1350,2.6277
k11q62,Free or Reduced Cost Meals - Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1369,2.6647
ebtcards,School Meal Debit ,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1481,2.8827
s9q34,WIC Benefits - Past 12 Months,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1368,2.6628
ssi,Receive SSI ,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1097,2.1353
ssidisability,Receive SSI for Disability ,결측치 과다,결측 비율이 50% 이상,float64,50214,97.7401
k10q11,Neighborhood - Sidewalks or Walking Paths,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1274,2.4798
k10q12,Neighborhood - Park or Playground,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1390,2.7056
k10q13,Neighborhood - Recreation Center,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1404,2.7328
k10q14,Neighborhood - Library or Bookmobile,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1402,2.729
k10q20,Neighborhood - Litter or Garbage,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1362,2.6511
