screen_rank,column,domain,nonmissing_count,missing_rate,category_count,test_method,chi_square,p_value,effect_size,rf_importance,effect_rank,rf_rank,combined_rank,significant_0_05
62,ebtcards,경제·지원,11480,0.008721181245142873,2,카이제곱 검정 / Cramér's V,133.22953485097173,8.05402864639233e-31,0.10772817727343238,0.003114498681595312,52.0,87.0,139.0,True
63,k11q60,건강·의료 관련,11521,0.005180899749589796,2,카이제곱 검정 / Cramér's V,181.18251835407565,2.6744418162553456e-41,0.12540448171360463,0.0026184163761247235,38.0,101.0,139.0,True
64,talkabout,기타 설문 항목,11507,0.006389776357827448,4,카이제곱 검정 / Cramér's V,82.66647218232157,8.221855094024069e-18,0.08475857482350208,0.0036603021883858944,74.0,67.0,141.0,True
65,k9q40,기타 설문 항목,11544,0.0031948881789137795,2,카이제곱 검정 / Cramér's V,110.61260500203997,7.194067573290889e-26,0.09788680447398516,0.003279391580399132,61.0,81.0,142.0,True
66,k7q32,학교·사회생활,8679,0.2505828512218289,2,카이제곱 검정 / Cramér's V,47.872687799542675,4.548134483094421e-12,0.0742692539867302,0.004069340195057478,86.0,58.0,144.0,True
67,hopeful,기타 설문 항목,11514,0.005785338053708622,4,카이제곱 검정 / Cramér's V,66.3600546253756,2.566807374749864e-14,0.07591721274760363,0.0035967380733134767,84.0,71.0,155.0,True
68,strengths,기타 설문 항목,11493,0.0075986529660651,4,카이제곱 검정 / Cramér's V,78.73958360693199,5.719623482481772e-17,0.08277131473325909,0.0032955857836185214,76.0,79.0,155.0,True
69,k5q31_r,건강·의료 관련,10140,0.12442794231931609,3,카이제곱 검정 / Cramér's V,51.26266182938644,7.386767333025845e-12,0.07110196433493685,0.003651673826975799,89.0,68.0,157.0,True
70,a2_born,가족·가구,9867,0.14800103617994986,2,카이제곱 검정 / Cramér's V,24.800545101739,6.357948695248184e-07,0.050134657127745584,0.005328959795916782,120.0,38.0,158.0,True
71,a1_born,가족·가구,11519,0.0053535964079095555,2,카이제곱 검정 / Cramér's V,31.418636900171478,2.0797500478450764e-08,0.052225941804085074,0.005130433907068981,117.0,41.0,158.0,True
72,higrade,기타 설문 항목,11581,0.0,3,카이제곱 검정 / Cramér's V,92.09958147651422,1.001912948980647e-20,0.08917760356062894,0.0030232840988354643,69.0,92.0,161.0,True
73,goforhelp,기타 설문 항목,11522,0.005094551420430027,4,카이제곱 검정 / Cramér's V,45.88582249378454,5.9975326797033e-10,0.0631066788511402,0.0040189860905133,104.0,59.0,163.0,True
